datatime,itemcode,datagubun,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju,sejong
2020-09-24,SO2,일평균,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.001,0.004
2020-09-23,SO2,일평균,0.002,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.001,0.004
2020-09-22,SO2,일평균,0.002,0.004,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-21,SO2,일평균,0.003,0.005,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004
2020-09-20,SO2,일평균,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-19,SO2,일평균,0.003,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-18,SO2,일평균,0.003,0.004,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-17,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-16,SO2,일평균,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-15,SO2,일평균,0.003,0.004,0.002,0.004,0.003,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004
2020-09-14,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004
2020-09-13,SO2,일평균,0.002,0.003,0.002,0.003,0.003,0.001,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003
2020-09-12,SO2,일평균,0.002,0.003,0.001,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003
2020-09-11,SO2,일평균,0.003,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.004
2020-09-10,SO2,일평균,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004
2020-09-09,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.003
2020-09-08,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003
2020-09-07,SO2,일평균,0.002,0.003,0.002,0.003,0.003,0.001,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003
2020-09-06,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.001,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003
2020-09-05,SO2,일평균,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004
2020-09-04,SO2,일평균,0.003,0.004,0.002,0.004,0.003,0.002,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004
2020-09-03,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
2020-09-02,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003
2020-09-01,SO2,일평균,0.003,0.004,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.001,0.003
2020-08-31,SO2,일평균,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.001,0.003
2020-08-30,SO2,일평균,0.002,0.004,0.002,0.003,0.003,0.001,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.002,0.002
2020-08-29,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.003
2020-08-28,SO2,일평균,0.003,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.003
2020-08-27,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.002,0.003
2020-08-26,SO2,일평균,0.003,0.003,0.003,0.003,0.004,0.002,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,,0.003
2020-09-24,CO,일평균,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4
2020-09-23,CO,일평균,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4
2020-09-22,CO,일평균,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.4
2020-09-21,CO,일평균,0.4,0.4,0.4,0.5,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.4
2020-09-20,CO,일평균,0.3,0.4,0.3,0.4,0.3,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.4,0.3,0.4
2020-09-19,CO,일평균,0.4,0.4,0.3,0.4,0.3,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4
2020-09-18,CO,일평균,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4
2020-09-17,CO,일평균,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4
2020-09-16,CO,일평균,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.5
2020-09-15,CO,일평균,0.5,0.4,0.4,0.6,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.5
2020-09-14,CO,일평균,0.4,0.4,0.3,0.5,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.5
2020-09-13,CO,일평균,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.4
2020-09-12,CO,일평균,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4
2020-09-11,CO,일평균,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.5
2020-09-10,CO,일평균,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.5
2020-09-09,CO,일평균,0.4,0.4,0.5,0.5,0.3,0.4,0.6,0.4,0.4,0.4,0.4,0.3,0.5,0.4,0.4,0.3,0.5
2020-09-08,CO,일평균,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.5
2020-09-07,CO,일평균,0.3,0.3,0.2,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.2,0.4
2020-09-06,CO,일평균,0.4,0.4,0.3,0.5,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.2,0.4
2020-09-05,CO,일평균,0.4,0.4,0.4,0.6,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.2,0.5
2020-09-04,CO,일평균,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.3,0.5
2020-09-03,CO,일평균,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4
2020-09-02,CO,일평균,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.2,0.4
2020-09-01,CO,일평균,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.5,0.3,0.3,0.2,0.3
2020-08-31,CO,일평균,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.2,0.4
2020-08-30,CO,일평균,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.4,0.2,0.4,0.3,0.3,0.2,0.4
2020-08-29,CO,일평균,0.4,0.3,0.3,0.4,0.2,0.3,0.4,0.4,0.4,0.3,0.4,0.2,0.4,0.3,0.3,0.2,0.4
2020-08-28,CO,일평균,0.4,0.3,0.3,0.4,0.2,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.2,0.4
2020-08-27,CO,일평균,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.3,0.4,0.3,0.5,0.3,0.3,0.3,0.4
2020-08-26,CO,일평균,0.3,0.3,0.3,0.3,0.3,0.2,0.5,0.3,0.4,0.3,0.3,0.2,0.4,0.3,0.3,,0.4
2020-09-24,O3,일평균,0.027,0.034,0.023,0.027,0.023,0.028,0.034,0.029,0.028,0.024,0.032,0.029,0.028,0.029,0.033,0.037,0.023
2020-09-23,O3,일평균,0.026,0.032,0.019,0.025,0.021,0.028,0.033,0.026,0.023,0.022,0.028,0.027,0.027,0.028,0.031,0.036,0.022
2020-09-22,O3,일평균,0.022,0.028,0.018,0.021,0.022,0.027,0.027,0.022,0.021,0.023,0.03,0.025,0.027,0.023,0.027,0.038,0.025
2020-09-21,O3,일평균,0.017,0.03,0.026,0.024,0.024,0.021,0.028,0.019,0.02,0.018,0.027,0.026,0.032,0.027,0.032,0.055,0.019
2020-09-20,O3,일평균,0.03,0.038,0.033,0.035,0.032,0.035,0.035,0.027,0.027,0.028,0.034,0.036,0.039,0.037,0.035,0.05,0.032
2020-09-19,O3,일평균,0.032,0.033,0.03,0.041,0.033,0.045,0.029,0.035,0.031,0.031,0.047,0.044,0.035,0.036,0.033,0.046,0.041
2020-09-18,O3,일평균,0.034,0.024,0.025,0.041,0.026,0.035,0.025,0.033,0.032,0.029,0.037,0.033,0.031,0.033,0.026,0.044,0.032
2020-09-17,O3,일평균,0.024,0.018,0.017,0.033,0.025,0.032,0.016,0.021,0.027,0.025,0.03,0.033,0.026,0.023,0.02,0.045,0.03
